cycle,leg,vol_mL,raw_cm
1,up,0.0,8.61
1,up,0.3,9.34
1,up,0.6,8.61
1,up,0.9,9.28
1,up,1.2,9.72
1,up,1.5,10.29
1,up,1.8,9.665
1,up,2.1,10.335
1,up,2.4,11.010000000000002
1,up,2.7,11.28
1,up,3.0,10.96
1,up,3.3,11.39
1,up,3.6,11.97
1,up,3.9,11.39
1,up,4.2,12.97
1,up,4.5,12.3
1,up,4.8,12.97
1,up,5.0,12.62
1,down,4.8,12.97
1,down,4.5,12.3
1,down,4.2,12.97
1,down,3.9,11.28
1,down,3.6,11.97
1,down,3.3,11.28
1,down,3.0,11.96
1,down,2.7,10.0
1,down,2.4,11.06
1,down,2.1,10.29
1,down,1.8,9.67
1,down,1.5,10.38
1,down,1.2,9.665
1,down,0.9,9.06
1,down,0.6,9.62
1,down,0.3,8.995
1,down,0.0,8.66
2,up,0.0,8.66
2,up,0.3,8.995
2,up,0.6,8.71
2,up,0.9,9.38
2,up,1.2,9.62
2,up,1.5,10.385000000000002
2,up,1.8,9.62
2,up,2.1,10.29
2,up,2.4,11.06
2,up,2.7,10.665
2,up,3.0,11.0
2,up,3.3,11.39
2,up,3.6,11.96
2,up,3.9,11.345
2,up,4.2,12.97
2,up,4.5,12.3
2,up,4.8,12.97
2,up,5.0,12.64
2,down,4.8,12.97
2,down,4.5,12.3
2,down,4.2,12.97
2,down,3.9,11.28
2,down,3.6,11.96
2,down,3.3,11.28
2,down,3.0,11.95
2,down,2.7,11.28
2,down,2.4,10.96
2,down,2.1,10.38
2,down,1.8,9.6
2,down,1.5,10.29
2,down,1.2,9.665
2,down,0.9,10.27
2,down,0.6,9.6
2,down,0.3,9.04
2,down,0.0,8.66
3,up,0.0,8.66
3,up,0.3,8.995
3,up,0.6,9.635
3,up,0.9,9.28
3,up,1.2,9.62
3,up,1.5,10.29
3,up,1.8,9.62
3,up,2.1,10.335
3,up,2.4,10.96
3,up,2.7,11.28
3,up,3.0,11.95
3,up,3.3,11.29
3,up,3.6,11.96
3,up,3.9,11.28
3,up,4.2,13.31
3,up,4.5,12.3
3,up,4.8,12.97
3,up,5.0,12.62
3,down,4.8,12.97
3,down,4.5,12.3
3,down,4.2,12.97
3,down,3.9,11.835
3,down,3.6,11.97
3,down,3.3,11.29
3,down,3.0,11.95
3,down,2.7,11.3
3,down,2.4,10.96
3,down,2.1,10.29
3,down,1.8,9.71
3,down,1.5,10.34
3,down,1.2,9.62
3,down,0.9,9.33
3,down,0.6,9.62
3,down,0.3,9.04
3,down,0.0,8.66
