t_s,vol_est_mL,raw_cm
0.11,0.0037,8.71
0.31,0.0103,8.71
0.51,0.0169,8.71
0.71,0.0235,8.25
0.90,0.0301,8.25
1.10,0.0367,8.27
1.30,0.0433,8.35
1.50,0.0499,8.37
1.70,0.0565,8.35
1.89,0.0631,8.25
2.09,0.0697,8.25
2.29,0.0763,8.25
2.49,0.0830,8.37
2.69,0.0895,8.37
2.88,0.0961,8.35
3.08,0.1027,8.27
3.28,0.1094,8.25
3.48,0.1160,8.35
3.68,0.1226,8.35
3.87,0.1292,8.35
4.07,0.1358,8.25
4.27,0.1424,8.25
4.47,0.1490,8.27
4.67,0.1556,9.38
4.87,0.1622,9.38
5.06,0.1688,9.38
5.26,0.1754,9.38
5.46,0.1820,9.38
5.66,0.1886,9.28
5.86,0.1952,9.28
6.05,0.2018,9.28
6.25,0.2084,9.28
6.45,0.2150,9.38
6.65,0.2216,9.38
6.85,0.2282,9.38
7.04,0.2348,9.38
7.24,0.2414,9.28
7.44,0.2480,9.28
7.64,0.2546,9.28
7.84,0.2612,9.28
8.03,0.2678,9.28
8.23,0.2744,9.38
8.43,0.2810,9.06
8.63,0.2876,9.06
8.83,0.2942,9.06
9.03,0.3008,8.95
9.22,0.3075,8.94
9.42,0.3141,8.95
9.62,0.3206,9.06
9.82,0.3272,9.06
10.02,0.3339,9.06
10.21,0.3405,9.04
10.41,0.3471,8.95
10.61,0.3537,8.94
10.81,0.3603,8.94
11.01,0.3669,8.95
11.20,0.3735,9.06
11.40,0.3801,9.04
11.60,0.3867,9.06
11.80,0.3933,8.95
12.00,0.3999,8.95
12.19,0.4065,8.95
12.39,0.4131,8.94
12.59,0.4197,9.04
12.79,0.4263,9.06
12.99,0.4329,9.04
13.19,0.4395,9.06
13.38,0.4461,8.94
13.58,0.4527,8.95
13.78,0.4593,8.94
13.98,0.4659,9.95
14.18,0.4725,8.71
14.37,0.4791,8.71
14.57,0.4857,8.71
14.77,0.4923,8.61
14.97,0.4989,8.61
15.17,0.5055,8.61
15.36,0.5121,8.71
15.56,0.5187,8.71
15.76,0.5253,8.71
15.96,0.5320,8.71
16.16,0.5386,8.61
16.35,0.5451,8.61
16.55,0.5517,8.61
16.75,0.5584,8.71
16.95,0.5650,8.71
17.15,0.5716,8.71
17.35,0.5782,8.61
17.54,0.5848,8.61
17.74,0.5914,9.62
17.94,0.5980,9.62
18.14,0.6046,9.6
18.34,0.6112,9.72
18.53,0.6178,9.71
18.73,0.6244,9.72
18.93,0.6310,9.72
19.13,0.6376,9.71
19.33,0.6442,9.6
19.52,0.6508,9.6
19.72,0.6574,9.62
19.92,0.6640,9.62
20.12,0.6706,9.62
20.32,0.6772,9.71
20.52,0.6838,9.71
20.71,0.6904,9.72
20.91,0.6970,9.38
21.11,0.7037,9.38
21.31,0.7102,9.28
21.51,0.7169,9.28
21.70,0.7235,9.28
21.90,0.7301,9.28
22.10,0.7367,9.28
22.30,0.7433,9.38
22.50,0.7499,9.38
22.69,0.7565,9.38
22.88,0.7628,9.38
23.08,0.7694,9.38
23.27,0.7756,9.38
23.47,0.7822,9.28
23.66,0.7888,9.28
23.86,0.7954,9.31
24.06,0.8020,9.38
24.26,0.8086,9.38
24.46,0.8152,9.38
24.65,0.8218,9.38
24.85,0.8284,9.28
25.05,0.8350,9.28
25.25,0.8416,9.28
25.45,0.8483,9.28
25.65,0.8548,9.38
25.84,0.8615,9.38
26.04,0.8681,9.38
26.24,0.8747,9.38
26.44,0.8813,9.28
26.64,0.8879,9.28
26.83,0.8945,10.29
27.03,0.9011,8.95
27.23,0.9077,8.95
27.43,0.9143,9.04
27.63,0.9209,9.06
27.82,0.9275,9.04
28.02,0.9341,9.06
28.22,0.9407,8.94
28.42,0.9473,8.94
28.62,0.9539,8.94
28.82,0.9605,8.95
29.01,0.9671,9.06
29.21,0.9737,9.04
29.41,0.9803,9.04
29.61,0.9869,8.94
29.81,0.9935,8.94
30.00,1.0001,8.94
30.20,1.0067,8.95
30.40,1.0133,9.06
30.60,1.0199,9.06
30.80,1.0265,10.05
30.99,1.0331,10.07
31.19,1.0397,10.05
31.39,1.0464,10.05
31.59,1.0530,9.95
31.79,1.0596,9.95
31.99,1.0662,9.95
32.18,1.0728,9.95
32.37,1.0790,9.95
32.57,1.0857,9.95
32.77,1.0923,10.05
32.97,1.0989,10.05
33.16,1.1055,10.03
33.36,1.1121,9.6
33.56,1.1187,9.62
33.76,1.1253,9.6
33.96,1.1319,9.62
34.15,1.1385,9.62
34.35,1.1451,9.62
34.55,1.1517,9.72
34.75,1.1583,9.71
34.95,1.1649,9.72
35.15,1.1715,9.72
35.34,1.1781,9.72
35.54,1.1847,9.6
35.74,1.1913,9.6
35.94,1.1979,9.6
36.14,1.2045,9.62
36.33,1.2112,9.6
36.53,1.2178,9.67
36.73,1.2244,9.71
36.93,1.2310,9.72
37.13,1.2376,9.71
37.33,1.2442,9.71
37.52,1.2508,9.62
37.72,1.2574,9.6
37.92,1.2640,9.6
38.12,1.2706,9.62
38.32,1.2772,9.62
38.51,1.2838,9.6
38.71,1.2904,9.72
38.91,1.2970,9.71
39.11,1.3036,9.72
39.31,1.3102,10.72
39.50,1.3168,9.38
39.70,1.3234,9.38
39.90,1.3300,9.28
40.10,1.3366,9.28
40.30,1.3432,9.28
40.50,1.3498,9.28
40.69,1.3565,9.38
40.89,1.3631,9.38
41.09,1.3697,9.38
41.29,1.3763,9.38
41.47,1.3825,9.28
41.67,1.3891,9.28
41.87,1.3957,9.28
42.07,1.4023,9.28
42.27,1.4089,9.28
42.47,1.4155,9.38
42.66,1.4221,9.38
42.86,1.4287,9.38
43.06,1.4353,9.38
43.26,1.4419,9.28
43.45,1.4485,10.27
43.64,1.4547,10.29
43.83,1.4608,10.29
44.02,1.4675,10.39
44.22,1.4741,10.29
44.41,1.4803,10.29
44.61,1.4869,10.38
44.80,1.4935,10.39
45.00,1.5001,10.39
45.20,1.5067,10.39
45.39,1.5131,10.38
45.59,1.5197,10.38
45.78,1.5258,10.39
45.96,1.5320,10.39
46.14,1.5381,10.29
46.33,1.5442,10.39
46.51,1.5503,10.29
46.69,1.5564,10.29
46.88,1.5625,10.39
47.06,1.5686,10.29
47.24,1.5748,10.05
47.43,1.5809,9.95
47.61,1.5870,10.05
47.79,1.5931,9.95
47.98,1.5992,10.05
48.16,1.6053,9.95
48.34,1.6114,10.05
48.53,1.6175,9.95
48.71,1.6236,9.95
48.91,1.6303,9.95
49.09,1.6364,9.93
49.28,1.6426,10.05
49.46,1.6487,9.95
49.64,1.6548,10.05
49.83,1.6609,9.95
50.01,1.6670,9.95
50.19,1.6731,10.05
50.38,1.6792,9.95
50.56,1.6853,10.07
50.74,1.6915,9.95
50.94,1.6981,10.05
51.13,1.7042,9.6
51.31,1.7104,9.6
51.49,1.7165,9.72
51.68,1.7226,9.62
51.86,1.7287,9.71
52.04,1.7348,9.6
52.23,1.7409,9.72
52.41,1.7470,9.62
52.61,1.7536,9.6
52.81,1.7602,9.6
52.99,1.7665,9.6
53.18,1.7726,9.62
53.36,1.7787,9.71
53.54,1.7848,9.62
53.73,1.7909,9.71
53.91,1.7970,9.6
54.09,1.8032,9.71
54.28,1.8093,9.62
54.46,1.8154,9.72
54.64,1.8215,9.6
54.83,1.8276,9.71
55.01,1.8337,9.6
55.20,1.8398,9.62
55.38,1.8459,9.64
55.56,1.8521,9.6
55.75,1.8582,9.64
55.93,1.8643,9.62
56.11,1.8704,9.72
56.29,1.8765,9.6
56.48,1.8826,9.72
56.66,1.8887,10.62
56.85,1.8948,10.74
57.03,1.9010,10.62
57.21,1.9071,10.72
57.40,1.9132,10.63
57.58,1.9193,10.72
57.76,1.9254,10.62
57.95,1.9315,10.72
58.13,1.9376,10.62
58.31,1.9437,10.72
58.50,1.9498,10.62
58.68,1.9560,10.72
58.86,1.9621,10.62
59.05,1.9682,10.72
59.23,1.9743,10.62
59.41,1.9804,10.62
59.60,1.9865,10.62
59.78,1.9926,10.62
59.96,1.9987,10.62
60.15,2.0048,10.62
60.33,2.0110,10.72
60.51,2.0171,11.63
60.70,2.0232,11.73
60.88,2.0293,11.63
61.06,2.0354,11.73
61.25,2.0415,10.27
61.43,2.0476,10.39
61.61,2.0537,10.29
61.80,2.0598,10.39
61.98,2.0660,10.29
62.16,2.0721,10.39
62.35,2.0782,10.29
62.53,2.0843,10.39
62.71,2.0904,10.27
62.90,2.0965,10.39
63.08,2.1026,10.29
63.26,2.1088,10.39
63.45,2.1149,11.28
63.63,2.1210,11.39
63.81,2.1271,9.95
64.00,2.1332,10.05
64.18,2.1393,9.95
64.36,2.1454,10.05
64.55,2.1515,9.95
64.73,2.1576,10.05
64.91,2.1638,9.95
65.10,2.1699,10.05
65.28,2.1760,9.96
65.46,2.1821,10.05
65.65,2.1882,9.95
65.83,2.1943,10.05
66.01,2.2004,9.95
66.20,2.2065,10.05
66.38,2.2126,9.95
66.56,2.2188,10.07
66.75,2.2249,9.95
66.93,2.2310,10.07
67.11,2.2371,9.95
67.30,2.2432,10.05
67.48,2.2493,9.95
67.66,2.2554,10.05
67.85,2.2615,10.96
68.03,2.2676,11.06
68.21,2.2738,10.94
68.40,2.2799,11.04
68.58,2.2860,10.96
68.76,2.2921,11.06
68.95,2.2982,10.96
69.13,2.3043,9.72
69.31,2.3104,9.6
69.50,2.3165,9.72
69.68,2.3226,9.6
69.86,2.3288,9.71
70.05,2.3349,9.62
70.23,2.3410,9.72
70.41,2.3471,9.62
70.60,2.3532,9.72
70.78,2.3593,10.94
70.96,2.3654,11.06
71.15,2.3715,10.96
71.33,2.3776,11.06
71.51,2.3837,10.96
71.71,2.3904,11.06
71.91,2.3970,10.96
72.10,2.4032,10.96
72.29,2.4098,10.96
