cycle,leg,vol_mL,t_rel,raw_cm
1,up,0.0,0.0,8.76
1,up,0.0,0.1,8.61
1,up,0.0,0.2,8.52
1,up,0.0,0.3,8.8
1,up,0.0,0.4,8.5
1,up,0.0,0.5,8.54
1,up,0.0,0.6,8.55
1,up,0.0,0.7,10.18
1,up,0.0,0.8,10.67
1,up,0.0,0.9,8.8
1,up,0.0,1.0,8.78
1,up,0.0,1.1,8.69
1,up,0.0,1.2,8.59
1,up,0.0,1.3,8.6
1,up,0.0,1.4,8.79
1,up,0.0,1.5,8.67
1,up,0.0,1.6,9.0
1,up,0.0,1.7,8.58
1,up,0.0,1.8,8.57
1,up,0.0,1.9,8.65
1,up,0.0,2.0,8.66
1,up,0.0,2.1,8.72
1,up,0.0,2.2,8.39
1,up,0.0,2.3,8.9
1,up,0.0,2.4,8.65
1,up,0.0,2.5,8.46
1,up,0.0,2.6,8.77
1,up,0.0,2.7,8.74
1,up,0.0,2.8,8.5
1,up,0.0,2.9,8.74
1,up,0.0,3.0,8.96
1,up,0.0,3.1,8.56
1,up,0.0,3.2,8.78
1,up,0.0,3.3,8.45
1,up,0.0,3.4,8.73
1,up,0.0,3.5,8.45
1,up,0.0,3.6,8.56
1,up,0.0,3.7,8.58
1,up,0.0,3.8,8.74
1,up,0.0,3.9,8.64
1,up,0.294,0.0,10.58
1,up,0.294,0.1,8.88
1,up,0.294,0.2,8.73
1,up,0.294,0.3,8.92
1,up,0.294,0.4,10.16
1,up,0.294,0.5,8.87
1,up,0.294,0.6,9.05
1,up,0.294,0.7,8.9
1,up,0.294,0.8,8.86
1,up,0.294,0.9,9.02
1,up,0.294,1.0,9.02
1,up,0.294,1.1,8.81
1,up,0.294,1.2,8.89
1,up,0.294,1.3,8.78
1,up,0.294,1.4,8.79
1,up,0.294,1.6,7.59
1,up,0.294,1.7,8.97
1,up,0.294,1.8,8.97
1,up,0.294,1.9,9.04
1,up,0.294,2.0,8.92
1,up,0.294,2.1,8.85
1,up,0.294,2.2,8.6
1,up,0.294,2.3,9.06
1,up,0.294,2.4,10.38
1,up,0.294,2.5,8.95
1,up,0.294,2.6,8.7
1,up,0.294,2.7,9.06
1,up,0.294,2.8,8.94
1,up,0.294,2.9,9.13
1,up,0.294,3.0,9.01
1,up,0.294,3.1,9.05
1,up,0.294,3.2,8.9
1,up,0.294,3.3,8.77
1,up,0.294,3.4,9.01
1,up,0.294,3.5,9.05
1,up,0.294,3.6,9.02
1,up,0.294,3.7,8.74
1,up,0.294,3.8,9.12
1,up,0.294,3.9,8.8
1,up,0.294,4.0,8.94
1,up,0.588,0.0,9.24
1,up,0.588,0.1,9.35
1,up,0.588,0.2,9.02
1,up,0.588,0.3,9.29
1,up,0.588,0.4,9.3
1,up,0.588,0.5,9.24
1,up,0.588,0.6,9.26
1,up,0.588,0.7,9.12
1,up,0.588,0.8,9.29
1,up,0.588,0.9,9.01
1,up,0.588,1.0,9.23
1,up,0.588,1.1,9.21
1,up,0.588,1.2,9.1
1,up,0.588,1.3,10.24
1,up,0.588,1.4,10.75
